,GBRPRIVATEPENSIONFUNDS.LISTEDANDPRIVATEEQUITIES.ACTUALALLOCATION.NONE.A.1@PURPLEBOOK,GBRPRIVATEPENSIONFUNDS.BONDS.ACTUALALLOCATION.NONE.A.1@PURPLEBOOK,GBRPRIVATEPENSIONFUNDS.ALTERNATIVES.ACTUALALLOCATION.NONE.A.1@PURPLEBOOK,GBRPRIVATEPENSIONFUNDS.REALESTATE.ACTUALALLOCATION.NONE.A.1@PURPLEBOOK,GBRPRIVATEPENSIONFUNDS.CASH.ACTUALALLOCATION.NONE.A.1@PURPLEBOOK,GBRPRIVATEPENSIONFUNDS.INSURANCE.ACTUALALLOCATION.NONE.A.1@PURPLEBOOK,GBRPRIVATEPENSIONFUNDS.HEDGEFUNDS.ACTUALALLOCATION.NONE.A.1@PURPLEBOOK,GBRPRIVATEPENSIONFUNDS.DEVIGROWFUND.ACTUALALLOCATION.NONE.A.1@PURPLEBOOK,GBRPRIVATEPENSIONFUNDS.ABSRETURN.ACTUALALLOCATION.NONE.A.1@PURPLEBOOK,GBRPRIVATEPENSIONFUNDS.ANNUITIES.ACTUALALLOCATION.NONE.A.1@PURPLEBOOK,GBRPRIVATEPENSIONFUNDS.OTHER.ACTUALALLOCATION.NONE.A.1@PURPLEBOOK,GBRPRIVATEPENSIONFUNDS.BONDS.WEIGHTEDAVG.GOVERNMENTFIXEDINTEREST.A@PURPLEBOOK,GBRPRIVATEPENSIONFUNDS.BONDS.WEIGHTEDAVG.CORPORATEFIXEDINTEREST.A@PURPLEBOOK,GBRPRIVATEPENSIONFUNDS.BONDS.WEIGHTEDAVG.INDEXLINKED.A@PURPLEBOOK,GBRPRIVATEPENSIONFUNDS.EQUITIES.WEIGHTEDAVG.UKQUOTED.A@PURPLEBOOK,GBRPRIVATEPENSIONFUNDS.EQUITIES.WEIGHTEDAVG.OVERSEASQUOTED.A@PURPLEBOOK,GBRPRIVATEPENSIONFUNDS.EQUITIES.WEIGHTEDAVG.DEVELOPEDMARKETS.A@PURPLEBOOK,GBRPRIVATEPENSIONFUNDS.EQUITIES.WEIGHTEDAVG.EMERGINGMARKETS.A@PURPLEBOOK,GBRPRIVATEPENSIONFUNDS.EQUITIES.WEIGHTEDAVG.UNQUOTEDPRIVATE.A@PURPLEBOOK
,"Weighted average asset allocation in total assets, Equities","Weighted average asset allocation in total assets, Bonds","Weighted average asset allocation in total assets, Other Investments","Weighted average asset allocation in total assets, Property","Weighted average asset allocation in total assets, Cash and Deposits","Weighted average asset allocation in total assets, Insurance policies","Weighted average asset allocation in total assets, Hedge Funds","Weighted average asset allocation in total assets, Diversified growth funds","Weighted average asset allocation in total assets, Absolute returns","Weighted average asset allocation in total assets, Annuities","Weighted average asset allocation in total assets, Miscellaneous","Bonds splits, Bonds, Weighted average, Government fixed interest","Bonds splits, Bonds, Weighted average, Corporate fixed interest","Bonds splits, Bonds, Weighted average, Index-linked","Equity splits, Equities, Weighted average, UK quoted","Equity splits, Equities, Weighted average, Overseas quoted","Equity splits, Equities, Weighted average, Developed markets","Equity splits, Equities, Weighted average, Emerging markets","Equity splits, Equities, Weighted average, Unquoted/Private"
2006,61.1,28.3,10.6,4.3,2.3,0.9,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2,32.6,33.9,48.2,51.8,NA,NA,NA
2011,41.1,40.1,18.8,4.4,4.1,1.6,2.4,NA,NA,NA,6.3,19.6,44.3,36.1,38.0,57.2,NA,NA,4.8
2016,30.3,51.3,18.4,4.8,3.0,0.1,6.6,NA,NA,2.1,1.7,21.9,33.7,44.4,22.4,68.6,NA,NA,9.0
2017,29.0,55.7,15.3,5.3,-0.9,0.1,6.7,NA,NA,3.3,0.8,24.1,31.4,44.5,20.5,69.0,NA,NA,10.5
2018,27.0,59.0,14.0,4.8,-2.5,0.1,7.0,NA,NA,3.4,1.2,24.1,28.8,47.1,18.6,69.4,NA,NA,12.0
2019,24.0,62.8,13.2,5.0,-4.4,0.3,7.4,NA,NA,4.0,1.0,25.4,28.4,46.2,16.6,69.7,NA,NA,13.7
2020,20.4,69.2,10.4,4.9,-7.2,0.1,6.8,NA,NA,5.0,0.8,25.9,28.0,46.1,13.3,69.0,NA,NA,17.7
2021,19.0,72.0,9.1,4.7,-9.5,0.1,6.1,NA,NA,6.6,0.9,24.6,28.2,47.2,11.6,68.3,NA,NA,20.1
2022,19.5,71.6,8.9,4.6,-8.8,0.1,5.2,NA,NA,6.8,1.0,22.0,30.2,47.8,9.9,68.6,NA,NA,21.5
2023,18.8,66.5,14.7,5.3,-3.3,NA,NA,1.5,3.0,7.3,0.9,19.1,32.2,43.3,7.6,1.4,53.0,8.0,30.0
2024,15.5,69.8,14.7,5.9,-5.4,NA,NA,1.0,2.6,9.7,0.9,19.5,27.7,45.5,6.6,1.4,41.7,6.7,43.6
2025,15.1,70.6,14.3,5.0,-7.9,NA,NA,0.7,2.1,12.9,1.5,20.8,27.8,44.4,4.9,1.2,42.8,6.6,44.5
