2006,61.1%,28.3%,10.6%,4.3%,2.3%,0.9%,n/a,n/a,3.1%
2007,59.5%,29.6%,10.9%,5.2%,2.3%,0.8%,n/a,n/a,2.5%
2008,53.6%,32.9%,13.5%,5.6%,3.0%,1.1%,n/a,n/a,3.8%
2009,46.4%,37.1%,16.5%,5.2%,3.9%,1.4%,1.5%,n/a,4.5%
2010,42.0%,40.4%,17.6%,4.6%,3.9%,1.4%,2.2%,n/a,5.4%
2011,41.1%,40.1%,18.8%,4.4%,4.1%,1.6%,2.4%,n/a,6.3%
2012,38.5%,43.2%,18.3%,4.9%,5.1%,0.2%,4.5%,n/a,3.6%
2013,35.1%,44.8%,20.1%,4.7%,6.7%,0.1%,5.2%,n/a,3.5%
2014,35.0%,44.1%,20.9%,4.6%,6.1%,0.1%,5.8%,n/a,4.3%
2015,33.0%,47.7%,19.3%,4.9%,3.5%,0.1%,6.1%,n/a,4.7%
2016,30.3%,51.3%,18.4%,4.8%,3.0%,0.1%,6.6%,2.1%,1.7%
2017,29.0%,55.7%,15.3%,5.3%,-0.9%,0.1%,6.7%,3.3%,0.8%
2018,27.0%,59.0%,14.0%,4.8%,-2.5%,0.1%,7.0%,3.4%,1.2%
2019,24.0%,62.8%,13.2%,5.0%,-4.4%,0.3%,7.4%,4.0%,1.0%
2020,20.4%,69.2%,10.4%,4.9%,-7.2%,0.1%,6.8%,5.0%,0.8%
2021,19.0%,72.0%,9.1%,4.7%,-9.5%,0.1%,6.1%,6.6%,0.9%
2022,19.5%,71.6%,8.9%,4.6%,-8.8%,0.1%,5.2%,6.8%,1.0%
