0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,,,,,Asset class,,,,,,,,,,,,Asset class,,,,,
,,,,,,,,Breakdown of other investments,,,,,,,,,,,,Breakdown of other investments,,,
Year/The Purple,,,Other,Cash and,,,Diversified,Absolute,Insurance,,,Year/The Purple,,,Other,Cash and,,,Diversified,Absolute,Insurance,,
Book dataset,Equities,Bonds,investments,deposits,Property,Annuities,growth funds,returns,policies,Hedge funds,Miscellaneous,Book dataset,Equities,Bonds,investments,deposits,Property,Annuities,growth funds,returns,policies,Hedge funds,Miscellaneous
2006,61.1%,28.3%,10.6%,2.3%,4.3%,–,–,–,0.9%,–,3.1%,2006,52.6%,22.6%,24.8%,3.9%,2.1%,–,–,–,14.9%,–,3.6%
2011,41.1%,40.1%,18.8%,4.1%,4.4%,–,–,–,1.6%,2.4%,6.3%,2011,43.7%,32.6%,23.7%,4.9%,2.7%,–,–,–,11.8%,1.0%,3.3%
2016,30.3%,51.3%,18.4%,3.0%,4.8%,2.1%,–,–,0.1%,6.6%,1.7%,2016,36.8%,41.1%,22.1%,5.4%,3.7%,2.4%,–,–,1.2%,"7
.9%",1.5%
2017,29.0%,55.7%,15.3%,-0.9%,5.3%,3.3%,–,–,0.1%,6.7%,0.8%,2017,34.5%,41.4%,24.1%,3.6%,3.7%,6.8%,–,–,0.7%,"7
.9%",1.3%
2018,27.0%,59.0%,14.0%,-2.5%,4.8%,3.4%,–,–,0.1%,"7
.0%",1.2%,2018,32.4%,43.1%,24.5%,1.8%,3.3%,8.9%,–,–,0.6%,8.5%,1.4%
2019,24.0%,62.8%,13.2%,-4.4%,5.0%,4.0%,–,–,0.3%,"7
.4%",1.0%,2019,30.4%,47.0%,22.7%,-0.8%,3.4%,9.4%,–,–,0.5%,8.9%,1.3%
2020,20.4%,69.2%,10.4%,-7. 2%,4.9%,5.0%,–,–,0.1%,6.8%,0.8%,2020,27. 8%,52.3%,19.9%,-3.2%,3.4%,9.7%,–,–,0.6%,"7
.9%",1.7%
2021,19.0%,72.0%,9.1%,-9.5%,4.7%,6.6%,–,–,0.1%,6.1%,0.9%,2021,25.8%,58.0%,16.3%,-6.6%,3.2%,10.6%,–,–,0.6%,6.9%,1.7%
2022,19.5%,71.6%,8.9%,-8.8%,4.6%,6.8%,–,–,0.1%,5.2%,1.0%,2022,27. 1%,58.5%,14.4%,-7. 5%,3.0%,10.7%,–,–,0.6%,6.0%,1.6%
2023 restated,18.8%,66.5%,14.7%,-3.3%,5.3%,"7
. 3%",1.5%,3.0%,–,–,0.9%,2023,23.1%,62.9%,14.0%,-10.8%,2.8%,11.5%,6.7%,1.7%,–,–,1.9%
2024,15.5%,69.8%,14.7%,-5.4%,5.9%,9.7%,1.0%,2.6%,–,–,0.9%,2024,17. 8%,66.1%,16.1%,-8.9%,2.8%,13.8%,5.2%,1.3%,–,–,1.9%
2025,15.1%,70.6%,14.3%,-7.9%,5.0%,12.9%,0.7%,2.1%,–,–,1.5%,2025,14.9%,70.7%,14.4%,-10.7%,2.3%,16.4%,3.8%,1.1%,–,–,1.5%
